time,x,y
0,0,0.718281828
0.05,0.03772196,0.753810405
0.1,0.086117665,0.858304144
0.15,0.155005892,1.025610667
0.2,0.252552471,1.245880452
0.25,0.384582634,1.506147649
0.3,0.554050041,1.791093162
0.35,0.760698819,2.083943665
0.4,1.000942662,2.367452026
0.45,1.267971146,2.624899801
0.5,1.552078859,2.841061295
0.55,1.841198608,3.003071199
0.6,2.121606741,3.101143974
0.65,2.378757395,3.129102381
0.7,2.598193884,3.084684468
0.75,2.766480088,2.969612066
0.8,2.872092916,2.789418574
0.85,2.906218812,2.553048663
0.9,2.863402747,2.272256536
0.95,2.742006873,1.960841686
1,2.544447491,1.633770946
1.05,2.277192424,1.306242428
1.1,1.950515582,0.99275022
1.15,1.578020427,0.706208361
1.2,1.175958335,0.457188575
1.25,0.762380628,0.253318816
1.3,0.356173483,0.098879332
1.35,-0.023967651,-0.005379676
1.4,-0.360563463,-0.062188806
1.45,-0.638315065,-0.077483355
1.5,-0.844949643,-0.059919472
1.55,-0.971896901,-0.0202148
1.6,-1.014755819,0.029643025
1.65,-0.973523772,0.0772683
1.7,-0.852574333,0.110772821
1.75,-0.660385239,0.119626774
1.8,-0.40903296,0.095428835
1.85,-0.113484413,0.032535113
1.9,0.20927153,-0.071494554
1.95,0.541200553,-0.215662819
2,0.864248854,-0.395530017
2.05,1.161357291,-0.603440208
2.1,1.417403399,-0.828965269
2.15,1.620015679,-1.059540305
2.2,1.760212627,-1.281251336
2.25,1.83282991,-1.47972634
2.3,1.836712288,-1.641073893
2.35,1.774661412,-1.752810244
2.4,1.653145642,-1.804715997
2.45,1.481792667,-1.789567564
2.5,1.272698868,-1.703695957
2.55,1.039600507,-1.54733597
2.6,0.796960002,-1.324741504
2.65,0.559025438,-1.044057174
2.7,0.33892269,-0.716951304
2.75,0.147837073,-0.358030192
2.8,-0.005664633,0.015932932
2.85,-0.116130061,0.386909209
2.9,-0.181505149,0.736611913
2.95,-0.203189693,1.047521249
3,-0.18586286,1.303874903
3.05,-0.137091557,1.492564889
3.1,-0.066748399,1.603886711
3.15,0.013721917,1.632095705
3.2,0.092139414,1.575736973
3.25,0.156473833,1.437728989
3.3,0.195719824,1.225195828
3.35,0.200704921,0.949058155
3.4,0.164777179,0.623407654
3.45,0.084326941,0.264702659
3.5,-0.040892233,-0.10916658
3.55,-0.207665724,-0.479886776
3.6,-0.409451127,-0.829744138
3.65,-0.636735968,-1.142599485
3.7,-0.877598796,-1.404758018
3.75,-1.118439542,-1.605682544
3.8,-1.344834031,-1.738508749
3.85,-1.542459383,-1.80033346
3.9,-1.698032151,-1.792260895
3.95,-1.800199825,-1.719206859
4,-1.840328783,-1.589475691
4.05,-1.813137838,-1.414138701
4.1,-1.71713576,-1.206254875
4.15,-1.554833045,-0.979984121
4.2,-1.332711967,-0.74964964
4.25,-1.060953823,-0.528808777
4.3,-0.752937211,-0.329390778
4.35,-0.424535392,-0.160955275
4.4,-0.093253288,-0.030117421
4.45,0.222745308,0.059825205
4.5,0.505662689,0.109041725
4.55,0.739083349,0.121085214
4.6,0.908920444,0.102584933
4.65,1.004235825,0.062734666
4.7,1.017884299,0.012611194
4.75,0.946943315,-0.035632307
4.8,0.792902079,-0.069645243
4.85,0.561598639,-0.07777371
4.9,0.262908594,-0.049911522
4.95,-0.089795966,0.021747337
5,-0.480384873,0.14210405
5.05,-0.890861485,0.31273802
5.1,-1.302354182,0.531705646
5.15,-1.696148687,0.793569182
5.2,-2.054699939,1.089655445
5.25,-2.362563806,1.408529549
5.3,-2.60719413,1.736655121
5.35,-2.779559102,2.059200525
5.4,-2.874542282,2.360941189
5.45,-2.891106926,2.627201797
5.5,-2.832216915,2.844779312
5.55,-2.704522516,3.002788623
5.6,-2.517833571,3.093377169
5.65,-2.284415604,3.112262717
5.7,-2.018154918,3.059059266
5.75,-1.733646482,2.937368997
5.8,-1.445262674,2.754632591
5.85,-1.166261629,2.521745128
5.9,-0.907990901,2.252459315
5.95,-0.679235682,1.962610968
6,-0.485751255,1.669212784
6.05,-0.330007368,1.389470673
6.1,-0.211158539,1.139781908
6.15,-0.125239768,0.934775604
6.2,-0.06557271,0.786453668
6.25,-0.023353917,0.703484311
6.3,0.011614853,0.690691067
6.35,0.050103307,0.748768356
6.4,0.10259125,0.874240908
6.45,0.178426554,1.059669497
6.5,0.285058631,1.294090492
6.55,0.427398771,1.563662475
6.6,0.607350612,1.852480646
6.65,0.823543181,2.143509577
6.7,1.071286009,2.419577783
6.75,1.342751611,2.664373953
6.8,1.627376044,2.863384778
6.85,1.912454178,3.004718081
6.9,2.1838937,3.079762175
6.95,2.427081419,3.083642619
7,2.627807932,3.01545013
7.05,2.773192485,2.878227575
7.1,2.852549324,2.67871888
7.15,2.858139972,2.426897305
7.2,2.785762464,2.135304117
7.25,2.635138302,1.818240199
7.3,2.410070113,1.490862072
7.35,2.118356972,1.168239395
7.4,1.771469177,0.864433153
7.45,1.383999139,0.591652055
7.5,0.972918882,0.359539504
7.55,0.556686722,0.17463501
7.6,0.154255197,0.04004272
7.65,-0.215961359,-0.044673475
7.7,-0.537098423,-0.083363193
7.75,-0.794771864,-0.082940816
7.8,-0.977871948,-0.05283846
7.85,-1.07917326,-0.004296896
7.9,-1.095724039,0.050459054
7.95,-1.028991632,0.099106855
8,-0.884755421,0.130116613
8.05,-0.672753803,0.133587452
8.1,-0.406106556,0.101975375
8.15,-0.100547459,0.03066486
8.2,0.22648667,-0.08165362
8.25,0.556855773,-0.232825694
8.3,0.872745333,-0.417306453
8.35,1.157662749,-0.626461956
8.4,1.397342188,-0.849081291
8.45,1.580504669,-1.072068085
8.5,1.699429225,-1.281268796
8.55,1.750302798,-1.4623862
8.6,1.733330219,-1.601920775
8.65,1.652600467,-1.68808051
8.7,1.515720351,-1.711601241
8.75,1.33324103,-1.666424822
8.8,1.11791533,-1.550190908
8.85,0.883834044,-1.364509439
8.9,0.645496504,-1.114994306
8.95,0.416874416,-0.811053318
9,0.210527899,-0.465444638
9.05,0.036829003,-0.093624292
9.1,-0.096659197,0.287077654
9.15,-0.185609937,0.658403928
9.2,-0.229141018,1.002183795
9.25,-0.2297925,1.301353272
